".Fairbanks North Star Borough, Alaska","Fairbanks North Star Borough, Alaska",Alaska,"96,849",96849
".Haines Borough, Alaska","Haines Borough, Alaska",Alaska,"2,530",2530
".Hoonah-Angoon Census Area, Alaska","Hoonah-Angoon Census Area, Alaska",Alaska,"2,148",2148
".Juneau City and Borough, Alaska","Juneau City and Borough, Alaska",Alaska,"31,974",31974
".Kenai Peninsula Borough, Alaska","Kenai Peninsula Borough, Alaska",Alaska,"58,708",58708
".Ketchikan Gateway Borough, Alaska","Ketchikan Gateway Borough, Alaska",Alaska,"13,901",13901
".Kodiak Island Borough, Alaska","Kodiak Island Borough, Alaska",Alaska,"12,998",12998
".Kusilvak Census Area, Alaska","Kusilvak Census Area, Alaska",Alaska,"8,314",8314
".Lake and Peninsula Borough, Alaska","Lake and Peninsula Borough, Alaska",Alaska,"1,592",1592
".Matanuska-Susitna Borough, Alaska","Matanuska-Susitna Borough, Alaska",Alaska,"108,317",108317
".Nome Census Area, Alaska","Nome Census Area, Alaska",Alaska,"10,004",10004
".North Slope Borough, Alaska","North Slope Borough, Alaska",Alaska,"9,832",9832
".Northwest Arctic Borough, Alaska","Northwest Arctic Borough, Alaska",Alaska,"7,621",7621
".Petersburg Borough, Alaska","Petersburg Borough, Alaska",Alaska,"3,266",3266
".Prince of Wales-Hyder Census Area, Alaska","Prince of Wales-Hyder Census Area, Alaska",Alaska,"6,203",6203
".Sitka City and Borough, Alaska","Sitka City and Borough, Alaska",Alaska,"8,493",8493
".Skagway Municipality, Alaska","Skagway Municipality, Alaska",Alaska,"1,183",1183
".Southeast Fairbanks Census Area, Alaska","Southeast Fairbanks Census Area, Alaska",Alaska,"6,893",6893
".Valdez-Cordova Census Area, Alaska","Valdez-Cordova Census Area, Alaska",Alaska,"9,202",9202
".Wrangell City and Borough, Alaska","Wrangell City and Borough, Alaska",Alaska,"2,502",2502
".Yakutat City and Borough, Alaska","Yakutat City and Borough, Alaska",Alaska,579,579
".Yukon-Koyukuk Census Area, Alaska","Yukon-Koyukuk Census Area, Alaska",Alaska,"5,230",5230
".Apache County, Arizona","Apache County, Arizona",Arizona,"71,887",71887
".Cochise County, Arizona","Cochise County, Arizona",Arizona,"125,922",125922
".Coconino County, Arizona","Coconino County, Arizona",Arizona,"143,476",143476
".Gila County, Arizona","Gila County, Arizona",Arizona,"54,018",54018
".Graham County, Arizona","Graham County, Arizona",Arizona,"38,837",38837
".Greenlee County, Arizona","Greenlee County, Arizona",Arizona,"9,498",9498
".La Paz County, Arizona","La Paz County, Arizona",Arizona,"21,108",21108
".Maricopa County, Arizona","Maricopa County, Arizona",Arizona,"4,485,414",4485414
".Mohave County, Arizona","Mohave County, Arizona",Arizona,"212,181",212181
".Navajo County, Arizona","Navajo County, Arizona",Arizona,"110,924",110924
".Pima County, Arizona","Pima County, Arizona",Arizona,"1,047,279",1047279
".Pinal County, Arizona","Pinal County, Arizona",Arizona,"462,789",462789
".Santa Cruz County, Arizona","Santa Cruz County, Arizona",Arizona,"46,498",46498
".Yavapai County, Arizona","Yavapai County, Arizona",Arizona,"235,099",235099
".Yuma County, Arizona","Yuma County, Arizona",Arizona,"213,787",213787
".Arkansas County, Arkansas","Arkansas County, Arkansas",Arkansas,"17,486",17486
".Ashley County, Arkansas","Ashley County, Arkansas",Arkansas,"19,657",19657
".Baxter County, Arkansas","Baxter County, Arkansas",Arkansas,"41,932",41932
".Benton County, Arkansas","Benton County, Arkansas",Arkansas,"279,141",279141
".Boone County, Arkansas","Boone County, Arkansas",Arkansas,"37,432",37432
".Bradley County, Arkansas","Bradley County, Arkansas",Arkansas,"10,763",10763
".Calhoun County, Arkansas","Calhoun County, Arkansas",Arkansas,"5,189",5189
".Carroll County, Arkansas","Carroll County, Arkansas",Arkansas,"28,380",28380
".Chicot County, Arkansas","Chicot County, Arkansas",Arkansas,"10,118",10118
".Clark County, Arkansas","Clark County, Arkansas",Arkansas,"22,320",22320
".Clay County, Arkansas","Clay County, Arkansas",Arkansas,"14,551",14551
".Cleburne County, Arkansas","Cleburne County, Arkansas",Arkansas,"24,919",24919
".Cleveland County, Arkansas","Cleveland County, Arkansas",Arkansas,"7,956",7956
".Columbia County, Arkansas","Columbia County, Arkansas",Arkansas,"23,457",23457
".Conway County, Arkansas","Conway County, Arkansas",Arkansas,"20,846",20846
".Craighead County, Arkansas","Craighead County, Arkansas",Arkansas,"110,332",110332
".Crawford County, Arkansas","Crawford County, Arkansas",Arkansas,"63,257",63257
".Crittenden County, Arkansas","Crittenden County, Arkansas",Arkansas,"47,955",47955
".Cross County, Arkansas","Cross County, Arkansas",Arkansas,"16,419",16419
".Dallas County, Arkansas","Dallas County, Arkansas",Arkansas,"7,009",7009
".Desha County, Arkansas","Desha County, Arkansas",Arkansas,"11,361",11361
".Drew County, Arkansas","Drew County, Arkansas",Arkansas,"18,219",18219
".Faulkner County, Arkansas","Faulkner County, Arkansas",Arkansas,"126,007",126007
".Franklin County, Arkansas","Franklin County, Arkansas",Arkansas,"17,715",17715
".Fulton County, Arkansas","Fulton County, Arkansas",Arkansas,"12,477",12477
".Garland County, Arkansas","Garland County, Arkansas",Arkansas,"99,386",99386
".Grant County, Arkansas","Grant County, Arkansas",Arkansas,"18,265",18265
".Greene County, Arkansas","Greene County, Arkansas",Arkansas,"45,325",45325
".Hempstead County, Arkansas","Hempstead County, Arkansas",Arkansas,"21,532",21532
".Hot Spring County, Arkansas","Hot Spring County, Arkansas",Arkansas,"33,771",33771
".Howard County, Arkansas","Howard County, Arkansas",Arkansas,"13,202",13202
".Independence County, Arkansas","Independence County, Arkansas",Arkansas,"37,825",37825
".Izard County, Arkansas","Izard County, Arkansas",Arkansas,"13,629",13629
".Jackson County, Arkansas","Jackson County, Arkansas",Arkansas,"16,719",16719
".Jefferson County, Arkansas","Jefferson County, Arkansas",Arkansas,"66,824",66824
".Johnson County, Arkansas","Johnson County, Arkansas",Arkansas,"26,578",26578
".Lafayette County, Arkansas","Lafayette County, Arkansas",Arkansas,"6,624",6624
".Lawrence County, Arkansas","Lawrence County, Arkansas",Arkansas,"16,406",16406
".Lee County, Arkansas","Lee County, Arkansas",Arkansas,"8,857",8857
".Lincoln County, Arkansas","Lincoln County, Arkansas",Arkansas,"13,024",13024
".Little River County, Arkansas","Little River County, Arkansas",Arkansas,"12,259",12259
".Logan County, Arkansas","Logan County, Arkansas",Arkansas,"21,466",21466
".Lonoke County, Arkansas","Lonoke County, Arkansas",Arkansas,"73,309",73309
".Madison County, Arkansas","Madison County, Arkansas",Arkansas,"16,576",16576
".Marion County, Arkansas","Marion County, Arkansas",Arkansas,"16,694",16694
".Miller County, Arkansas","Miller County, Arkansas",Arkansas,"43,257",43257
".Mississippi County, Arkansas","Mississippi County, Arkansas",Arkansas,"40,651",40651
".Monroe County, Arkansas","Monroe County, Arkansas",Arkansas,"6,701",6701
".Montgomery County, Arkansas","Montgomery County, Arkansas",Arkansas,"8,986",8986
".Nevada County, Arkansas","Nevada County, Arkansas",Arkansas,"8,252",8252
".Newton County, Arkansas","Newton County, Arkansas",Arkansas,"7,753",7753
".Ouachita County, Arkansas","Ouachita County, Arkansas",Arkansas,"23,382",23382
".Perry County, Arkansas","Perry County, Arkansas",Arkansas,"10,455",10455
".Phillips County, Arkansas","Phillips County, Arkansas",Arkansas,"17,782",17782
".Pike County, Arkansas","Pike County, Arkansas",Arkansas,"10,718",10718
".Poinsett County, Arkansas","Poinsett County, Arkansas",Arkansas,"23,528",23528
".Polk County, Arkansas","Polk County, Arkansas",Arkansas,"19,964",19964
".Pope County, Arkansas","Pope County, Arkansas",Arkansas,"64,072",64072
".Prairie County, Arkansas","Prairie County, Arkansas",Arkansas,"8,062",8062
".Pulaski County, Arkansas","Pulaski County, Arkansas",Arkansas,"391,911",391911
".Randolph County, Arkansas","Randolph County, Arkansas",Arkansas,"17,958",17958
".St. Francis County, Arkansas","St. Francis County, Arkansas",Arkansas,"24,994",24994
".Saline County, Arkansas","Saline County, Arkansas",Arkansas,"122,437",122437
".Scott County, Arkansas","Scott County, Arkansas",Arkansas,"10,281",10281
".Searcy County, Arkansas","Searcy County, Arkansas",Arkansas,"7,881",7881
".Sebastian County, Arkansas","Sebastian County, Arkansas",Arkansas,"127,827",127827
".Sevier County, Arkansas","Sevier County, Arkansas",Arkansas,"17,007",17007
".Sharp County, Arkansas","Sharp County, Arkansas",Arkansas,"17,442",17442
".Stone County, Arkansas","Stone County, Arkansas",Arkansas,"12,506",12506
".Union County, Arkansas","Union County, Arkansas",Arkansas,"38,682",38682
".Van Buren County, Arkansas","Van Buren County, Arkansas",Arkansas,"16,545",16545
".Washington County, Arkansas","Washington County, Arkansas",Arkansas,"239,187",239187
".White County, Arkansas","White County, Arkansas",Arkansas,"78,753",78753
".Woodruff County, Arkansas","Woodruff County, Arkansas",Arkansas,"6,320",6320
".Yell County, Arkansas","Yell County, Arkansas",Arkansas,"21,341",21341
".Alameda County, California","Alameda County, California",California,"1,671,329",1671329
".Alpine County, California","Alpine County, California",California,"1,129",1129
".Amador County, California","Amador County, California",California,"39,752",39752
".Butte County, California","Butte County, California",California,"219,186",219186
".Calaveras County, California","Calaveras County, California",California,"45,905",45905
".Colusa County, California","Colusa County, California",California,"21,547",21547
".Contra Costa County, California","Contra Costa County, California",California,"1,153,526",1153526
".Del Norte County, California","Del Norte County, California",California,"27,812",27812
".El Dorado County, California","El Dorado County, California",California,"192,843",192843
".Fresno County, California","Fresno County, California",California,"999,101",999101
".Glenn County, California","Glenn County, California",California,"28,393",28393
".Humboldt County, California","Humboldt County, California",California,"135,558",135558
".Imperial County, California","Imperial County, California",California,"181,215",181215
".Inyo County, California","Inyo County, California",California,"18,039",18039
".Kern County, California","Kern County, California",California,"900,202",900202
".Kings County, California","Kings County, California",California,"152,940",152940
".Lake County, California","Lake County, California",California,"64,386",64386
".Lassen County, California","Lassen County, California",California,"30,573",30573
".Los Angeles County, California","Los Angeles County, California",California,"10,039,107",10039107
".Madera County, California","Madera County, California",California,"157,327",157327
".Marin County, California","Marin County, California",California,"258,826",258826
".Mariposa County, California","Mariposa County, California",California,"17,203",17203
".Mendocino County, California","Mendocino County, California",California,"86,749",86749
".Merced County, California","Merced County, California",California,"277,680",277680
".Modoc County, California","Modoc County, California",California,"8,841",8841
".Mono County, California","Mono County, California",California,"14,444",14444
".Monterey County, California","Monterey County, California",California,"434,061",434061
".Napa County, California","Napa County, California",California,"137,744",137744
".Nevada County, California","Nevada County, California",California,"99,755",99755
".Orange County, California","Orange County, California",California,"3,175,692",3175692
".Placer County, California","Placer County, California",California,"398,329",398329
".Plumas County, California","Plumas County, California",California,"18,807",18807
